#UTX 1.20; lang: en/pt; creation date:2020-08-29; domain:computer; license: CC BY-NC 4.0														
#https://www.localeplanet.com/icu/pt/index.html														
#src:en	src:pos	tgt:pt	term status:pt	comment:pt	tgt:pt-BR	term status:pt-BR	comment:pt-BR	tgt:pt-PT	term status:pt-PT	comment:pt-PT	tgt:pt-AO	term status:pt-AO	comment:pt-AO	concept id
IP address		endereço Internet												
Java		linguagem Java												
Joint Photographers Expert Group format		formato JPEG												
key performance indicator		indicador chave de desempenho												
knowledge		conhecimento												
knowledge base		base de conhecimento												
knowledge economy		economia do conhecimento												
knowledge management		gestão do conhecimento												
Knowledge Society		Sociedade do Conhecimento												
laptop		computador portátil												
latency		latência												
lean government		Governo otimizado												
leased line		circuito alugado												
leased lineleased circuit		linha alugada												
life event		evento de vida												
Light Emitting Diode Display		ecrã LED												
Light Weight Directory Access protocol		protocolo LDAP												
link		ligação												
Liquid Cristal Display		ecrã LCD												
local area network		rede local												
localhost		localhost												
log file		ficheiro de relatório												
log in (to)		iniciar uma sessão												
log off (to)		terminar uma sessão												
lol		lol												
ludification		ludificação												
m­business		negócio móvel												
m­commerce		comércio móvel												
machine to machine		comunicação máquina­máquina												
magnetic card		cartão magnético												
mailbox		caixa de correio (eletrónico)												
mailing list		lista de correio												
malware		software malicioso												
man ­machine interaction		interação homem­máquina												
management information system		sistema de informação de gestão												
MapReduce		MapReduce												
markup language		linguagem de marcação												
mashup		aplicação composta												
mass collaboration		colaboração em massa												
mass communication		comunicação social												
media		media												
media break		descontinuidade de suporte												
memory card		cartão de memória												
memory card reader		leitor de cartões (de memória)												
message authentication		autenticação de mensagem												
metadata		metadados												
metropolitan area network		rede metropolitana												
middleware		software intermédio												
mobile application		aplicação móvel												
mobile browsing		navegação móvel												
mobile communications		comunicações móveis												
mobile content delivery		distribuição de conteúdos a dispositivos móveis												
mobile information retrieval		extração de informação com dispositivos móveis												
mobile operating system		Sistema operativo móvel												
mobile over­the­air payment		pagamento móvel												
mobile phone		telemóvel												
mobile telephony		telefonia móvel												
mobility		mobilidade												
model requirement for the Management of Electronic Records		modelo MoReq												
modem		modem												
monitoring		monitorização												
motherboard		placa mãe												
Moving Pictures Expert Group format		formato MPEG												
MP4 format		formato MP4												
MPEG­1 Audio Layer­3 format		formato MP3												
multimedia		multimédia												
Multipurpose Internet Mail Extensions		protocolo MIME												
narrowband		banda estreita												
National Comission for Data Protection		Comissão Nacional de Proteção de Dados												
natural language		linguagem natural												
natural user interface		interface natural do utilizador												
navigation		navegação												
Near field communication		tecnologia NFC												
Net economy		economia da Internet												
netbook		computador orientado para a Net												
netiquette		etiqueta da Net												
network		rede												
Network computing		computação em rede												
network interface		interface de rede												
Network News Transfer protocol		protocolo NNTP												
network organization		organização em rede												
network security		segurança de redes												
Network Society		Sociedade em Rede												
network technologies		tecnologias de redes												
networked economy		economia em rede												
networked Governments		Governos interligados												
news server		servidor de notícias												
newsgroup		grupo de discussão												
nickname		nome alternativo												
nickname alias		aliás												
non case­sensitive		insensível a maiúsculas e minúsculas												
non­repudiation		não repúdio												
offline		não conectado												
offline payment		pagamento offline												
one­stop government		interface administrativa única												
one­stop shop		balcão único (de atendimento)												
one­time password		palavra­passe de utilização única												
online		em linha												
online analytical processing		processamento analítico em linha												
online application		candidatura em linha												
Online Certificate Status protocol		protocolo OCSP												
online services		serviços em linha												
Online Services Computer interfaces		interfaces OSCI												
ontology		ontologia												
open (source) software		software aberto												
open architecture		arquitetura aberta												
open data		dados abertos												
open format		formato aberto												
open network		rede aberta												
open standard		norma aberta												
open system		sistema aberto												
open systems interconnection		interconexão de sistemas abertos												
OpenID standard		norma OpenID												
operating system		sistema operativo												
optical disk		disco ótico												
optical fiber		fibra ótica												
optical fibre network		rede de fibra ótica												
Organic Light Emitting Diode Display		ecrã OLED												
Organisation for the Advancement of Structured Information Standards		Organização para o Desenvolvimento de Normas de Informação Estruturada												
outbox		caixa de saída												
outsourcing		contratação externa												
packet		pacote												
palm to phand­held		computador de bolso												
parental control		controlo parental												
password		palavra­passe												
peer to peer		posto­a­posto												
pendrive		caneta USB												
performance		desempenho												
personal communication network		rede PCN												
personal computer		computador pessoal												
personal data		dados pessoais												
personal digital assistant		assistente digital pessoal												
personal identification number		número de identificação pessoal												
pharming		falsificação do destino (dos dados)												
phishing		falsificação da interface												
plug and play		ligue e use												
plug­in		módulo de extensão												
podcasting		podcasting												
point of presence		ponto de presença												
policy formulation		definição de políticas												
policy implementation		implementação de políticas												
pop­up menu		menu instantâneo												
pop­up window		janela instantânea												
portability		portabilidade												
Portable Network Graphics		formato PNG												
post		artigo												
Post Office Protocol ­ version 3		protocolo POP3												
privacy policy		política de privacidade												
private key		chave privada												
project management		gestão de projetos												
proprietary format		formato fechado												
proprietary network		rede proprietária												
protocol		protocolo												
proxy server		servidor intermediário												
public domain		domínio público												
public domain software		software de domínio público												
public information		informação pública												
public key		chave pública												
public key certificate		certificado de chave pública												
public key certificate		certificado digital												
Public Key Cryptography Standard		norma PKCS												
public key infrastructure		infraestrutura de chaves públicas												
Public Private Partnership		parceria público­ privada												
public sector		setor público												
public value		valor público												
pull technology		tecnologia pull												
push technology		tecnologia push												
pushware		software de envio seletivo												
qualified (digital) certificate		certificado digital qualificado												
qualified electronic signature		assinatura eletrónica qualificada												
quality of service		qualidade de serviço												
quantum computing		computação quântica												
radio frequency identification		identificação por radiofrequência												
real time enterprise		empresa em tempo real												
really simple syndication format		formato RSS												
reboot (to)		reinicializar (o computador)												
record		registo												
Regular Language for XML New Generation		linguagem regular para XML ­ nova geração												
release		versão (disponibilizada)												
